"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1865,1.33486215538847,32,-1.94980847294263,20,4968,6,4,0.6157,0.00729999999999997,0.0118564235829137,0.7015,0.9825,0.00120772946859903,0.798891312250091,4423.36901516332,9957783,544
1.66666666666667e-05,1865,0.980350877192982,27,-1.99992152256635,19,4973,11,2,0.7811375,0.00233125000000001,0.00298442975788514,0.8517375,0.98,0.00221194450030163,0.904098595960123,4768.43777076048,2424848,543
1.66666666666667e-05,1865,0.535288220551378,36,-2.45722519413862,22,4964,10,12,0.771225,0.00121875000000005,0.00158027812895076,0.806325,0.985,0.00201450443190975,0.889545472158717,4639.74624455897,8121294,542
1.66666666666667e-05,1865,1.05135338345865,37,-2.22175722338916,22,4963,9,5,0.5955375,0.00648124999999999,0.0108830258380035,0.66845,0.9825,0.00181341930284102,0.857142857142857,4367.63683985044,1029783,539
1.66666666666667e-05,1865,0.366666666666667,25,-2.34706296803435,21,4975,7,5,0.7541,0.00154374999999995,0.00204714228882105,0.7931375,0.9875,0.0014070351758794,0.883158774015293,4742.41109683223,5712552,534
1.66666666666667e-05,1865,0.571854636591479,29,-2.30844016687404,22,4971,5,5,0.6631,0.00294375000000002,0.00443937565977986,0.71185,0.985,0.00100583383625025,0.831583162191137,4542.74884721199,4472143,552
1.66666666666667e-05,1865,1.09887218045113,29,-1.99193971510222,22,4971,8,2,0.430575,0.02416875,0.0561313360041805,0.5803875,0.98,0.0016093341380004,0.67793856673104,4536.09521634741,6241265,554
1.66666666666667e-05,1865,0.358583959899749,18,-2.1378762638789,13,4982,6,1,0.79875,0.00219374999999999,0.00274647887323943,0.8656875,0.985,0.00120433560818948,0.909740251352992,4757.03586882112,994556,553
1.66666666666667e-05,1865,0.860927318295739,30,-2.16166586151296,21,4970,6,1,0.6791375,0.00263124999999997,0.00387439951408952,0.724375,0.975,0.00120724346076459,0.823109880693428,4548.07298793751,7361162,551
1.66666666666667e-05,1865,0.770864661654135,25,-2.0712842457417,18,4975,10,2,0.7982,0.00164375000000005,0.00205932097218749,0.8562125,0.9775,0.00201005025125628,0.916420748901567,4794.32488687783,9274421,540
1.66666666666667e-05,1865,0.702644110275689,32,-2.29825950322203,24,4968,5,10,0.7238125,0.00131250000000005,0.00181331491235651,0.7535625,0.98,0.00100644122383253,0.860672529881518,4674.36583981419,8359409,555
1.66666666666667e-05,1865,0.378245614035088,33,-2.49271540619457,18,4967,7,13,0.8378625,0.000637499999999958,0.000760864700353528,0.8698875,0.9925,0.00140930138916851,0.923631783833295,4797.04104012417,3638745,556
1.66666666666667e-05,1865,0.375914786967419,22,-2.26065875946478,18,4978,8,2,0.86065,0.000393749999999971,0.000457503050020299,0.8792,0.9875,0.00160707111289675,0.937833322624173,4896.15106984515,464563,535
1.66666666666667e-05,1865,0.641203007518797,26,-2.18905844743885,20,4974,8,3,0.570775,0.00827500000000003,0.0144978318952302,0.668275,0.985,0.00160836349014877,0.77956239263249,4501.83440539389,6641834,546
1.66666666666667e-05,1865,0.961328320802005,33,-2.17991152787386,17,4967,6,3,0.76385,0.00259374999999995,0.00339562741375918,0.8380125,0.985,0.0012079726192873,0.887046150269307,4750.16634375686,5113366,548
1.66666666666667e-05,1865,0.3781328320802,20,-2.19506632885995,20,4980,10,1,0.6801875,0.00368124999999997,0.00541211063125972,0.741875,0.9875,0.00200803212851406,0.845370429865707,4701.05365289469,1008464,557
1.66666666666667e-05,1865,0.641027568922306,37,-2.42069719137409,17,4963,9,14,0.7415875,0.00198750000000003,0.00268006135486376,0.7845875,0.995,0.00181341930284102,0.8543789476349,4736.55506752908,2477629,549
1.66666666666667e-05,1865,0.323220551378446,29,-2.45775739779483,16,4971,10,12,0.88395,0.000349999999999961,0.000395949997171742,0.90745,0.9825,0.0020116676725005,0.957275276522823,4896.95201095705,8991805,536
1.66666666666667e-05,1865,0.620714285714286,21,-2.03650583289487,12,4979,2,4,0.83385,0.00119374999999999,0.0014316124003118,0.879475,0.9825,0.000401687085760193,0.930577192709145,4798.78844056707,9714902,547
1.66666666666667e-05,1865,0.740977443609023,29,-2.20687344400186,24,4971,7,9,0.5003875,0.01388125,0.0277410007244385,0.6050125,0.9775,0.00140816737075035,0.742048658928454,4194.76126303364,9720586,545
1.66666666666667e-05,1865,0.614461152882205,25,-2.17799620459877,23,4975,6,3,0.6598625,0.0037625,0.00570194548106613,0.7327625,0.975,0.00120603015075377,0.825568518884714,4693.25389229451,3511824,550
1.66666666666667e-05,1865,0.941040100250627,30,-2.11495051098485,22,4970,7,3,0.681025,0.00451875000000002,0.00663521897140342,0.7756125,0.9725,0.00140845070422535,0.851694802957623,4752.50234542708,1241642,558
1.66666666666667e-05,1865,0.466616541353383,36,-2.49133988507286,18,4964,12,8,0.7889375,0.00128125000000001,0.00162401964667672,0.828875,0.9875,0.0024174053182917,0.901914797918139,4795.17148364711,1580842,559
